Timestamp,CPU (%),Memory (%),Used Memory (MB)
2025-04-06 16:45:37,2.7,1.4,385.04
2025-04-06 16:45:37,1.4,1.4,387.52
2025-04-06 16:45:37,3.2,1.4,390.66
2025-04-06 16:45:37,2.9,1.4,401.04
2025-04-06 16:45:37,24.6,1.4,417.18
2025-04-06 16:45:38,57.1,1.4,425.85
2025-04-06 16:45:38,2.4,1.4,426.12
2025-04-06 16:45:38,2.4,1.4,428.23
2025-04-06 16:45:38,26.1,1.4,429.45
2025-04-06 16:45:38,95.8,1.4,431.56
2025-04-06 16:45:38,100.0,1.4,439.60
2025-04-06 16:45:38,100.0,1.4,440.61
2025-04-06 16:45:38,97.9,1.4,448.05
2025-04-06 16:45:38,100.0,1.4,449.95
2025-04-06 16:45:38,86.8,1.4,488.36
2025-04-06 16:45:38,100.0,1.4,497.63
2025-04-06 16:45:38,100.0,1.4,513.69
2025-04-06 16:45:38,98.0,1.4,527.66
2025-04-06 16:45:38,95.8,1.4,540.12
2025-04-06 16:45:38,100.0,1.4,557.98
2025-04-06 16:45:38,100.0,1.4,570.48
2025-04-06 16:45:38,100.0,1.4,571.07
2025-04-06 16:45:38,100.0,1.5,595.30
2025-04-06 16:45:38,98.0,1.5,595.48
2025-04-06 16:45:39,100.0,1.5,596.43
2025-04-06 16:45:39,100.0,1.5,596.88
2025-04-06 16:45:39,100.0,1.5,612.80
